Year;Month;Date;Zip Code;Active Energy (kWh)
2022;4;2022-04;7000;5809403.97
2022;4;2022-04;7005;16301495.631
2022;4;2022-04;7040;2056285.601
2022;4;2022-04;7050;5662535.771
2022;4;2022-04;7150;1727497.339
2022;4;2022-04;7220;13751162.722
2022;4;2022-04;7250;992945.595
2022;4;2022-04;7300;9683387.267
2022;4;2022-04;7330;925986.101
2022;4;2022-04;7340;765183.433
2022;4;2022-04;7480;2836388.382
2022;4;2022-04;7490;1136514.689
2022;4;2022-04;7570;5896149.964
2022;4;2022-04;7595;449891.825
2022;4;2022-04;7645;1372163.805
2022;4;2022-04;7670;1415387.659
2022;4;2022-04;7860;2798606.539
2022;4;2022-04;7875;500760.212
2022;4;2022-04;7900;4002366.544
2022;4;2022-04;7940;1095302.012
2022;4;2022-04;7960;2093138.598
2022;4;2022-04;8125;12997245.783
2022;4;2022-04;8200;27182201.21
2022;4;2022-04;8375;2444993.824
2022;4;2022-04;8600;13407996.762
2022;4;2022-04;8670;2081227.777
2022;4;2022-04;8700;9580264.355
2022;4;2022-04;8800;8996857.949
2022;4;2022-04;8900;5863058.404
2022;4;2022-04;8950;3329684.903
2022;5;2022-05;1050;20655522.82
2022;5;2022-05;1070;14251155.994
2022;5;2022-05;1100;9749161.323
2022;5;2022-05;1150;8837223.998
2022;5;2022-05;1349;50187.316
2022;5;2022-05;1350;7087989.307
2022;5;2022-05;1675;2637628.687
2022;5;2022-05;1750;7485081.587
2022;5;2022-05;1800;12493504.003
2022;5;2022-05;1885;2475875.038
2022;5;2022-05;1900;6682798.562
2022;5;2022-05;1950;8344354.801
2022;5;2022-05;1990;15212254.603
2022;5;2022-05;2000;6726922.218
2022;5;2022-05;2050;11302525.049
2022;5;2022-05;2070;8574007.038
2022;5;2022-05;2120;3403632.605
2022;5;2022-05;2125;3012260.112
2022;5;2022-05;2150;2603036.026
2022;5;2022-05;2230;993452.994
2022;5;2022-05;2240;3623325.983
2022;5;2022-05;2410;6843226.239
2022;5;2022-05;2425;8370167.018
2022;5;2022-05;2435;4597812.973
2022;5;2022-05;2475;3056233.577
2022;5;2022-05;2485;732701.75
2022;5;2022-05;2520;5772708.856
2022;5;2022-05;2530;6520127.245
2022;5;2022-05;2619;7643.923
2022;5;2022-05;2625;24612279.296
2022;5;2022-05;2635;13672170.839
2022;5;2022-05;2655;3802105.519
2022;5;2022-05;2660;14350656.294
2022;5;2022-05;2665;10229520.236
